movie_title,avg_compound,avg_positive,avg_neutral,avg_negative,avg_anger,avg_disgust,avg_fear,avg_joy,avg_sadness,avg_surprise
Father Son Therapy,-0.02039778851453335,0.30828005787090307,0.2423614945815174,0.3286778467403154,0.12898071151228635,0.06641432779278761,0.08073138534030386,0.1772000262001623,0.09357980336344257,0.18653869898539158
Project Gemini,-0.33326662849634886,0.16960060543380676,0.20951228265068494,0.5028672358222926,0.10937579594591319,0.12986786848137852,0.06321844063349995,0.14775101153296413,0.16629609936693057,0.17397850286060323
The Best Is Yet to Come,0.4402958869934082,0.4602987885475159,0.24946933386381714,0.02000290248543022,0.02567810401087624,0.00216028622817246,0.20582831725478173,0.04786064615473148,0.018019730201922317,0.05098359044641254
The House,0.039663639043768247,0.33173538585193457,0.2185831557806038,0.2920717474957928,0.057622391903617697,0.038008060716189555,0.14630950135081847,0.18832018200773745,0.09366678982119382,0.2174899117120852
Victor Frankenstein,0.19018447438011998,0.3790862649679184,0.2819445335417581,0.188901789482359,0.05901030793522844,0.03805684662656854,0.06978143998649494,0.2521622408571167,0.09193873547584464,0.17232328835550856
The Bad Batch,-0.20085071062669158,0.21273415236268192,0.25482824733713644,0.41358486420242113,0.08100605815008745,0.12767333104973655,0.06242364848614667,0.105605686896597,0.1530079717829358,0.18545505189104006
Suite Française,0.043116131201386444,0.19447495212778446,0.2523236090922728,0.15135882064700124,0.11053344828193072,0.06315029017161575,0.10200923278927801,0.2605603979551233,0.1319494019867852,0.059473617055918984
Befikre,0.09073780544613506,0.23114827377539054,0.3934990093014979,0.14041046830642895,0.035421926839797564,0.03418644095454864,0.03150885075207467,0.21159685905863002,0.06647554908504742,0.11946823621424388
Ben-Hur,0.026605416055735166,0.3143915818660176,0.29304225405055173,0.28778616514744926,0.07210057714391865,0.033991954872370986,0.052232647768267894,0.24328125650608526,0.10662936146564043,0.1897129440283705
TÁR,0.08979322354591221,0.32952231798457715,0.29301678412967713,0.23972909256747557,0.03706399868925978,0.029616643579750402,0.06417890336180804,0.1930804616481134,0.13999171074535352,0.17883131323049034
The Dancer,0.18875402602755909,0.39194690345705135,0.25918217996153436,0.20319287600877325,0.054015918927000424,0.02968381504537828,0.028952996145077108,0.20514008019190708,0.10318576802784411,0.19362565190802572
The Ninth,0.07448724627731339,0.3210549545548265,0.34335133921547184,0.24656770736466915,0.04608822035573655,0.07103080453193143,0.053922917974728396,0.20074693324683707,0.12271482947592931,0.1621449642596648
Blood Father,0.219882241114974,0.44613185664017996,0.26861019677094494,0.22624961552986253,0.10488579384439312,0.029510850855343308,0.013656768971898856,0.28229915572407965,0.07325257136176025,0.21445132260986915
The Apparition,-0.10968876758463753,0.21784933072343035,0.2481460608214194,0.32753809885962787,0.08439121811449506,0.06576996355530015,0.09201329830667744,0.12625946082825795,0.13090185881750568,0.18455698352829256
In the Heart of the Sea,0.07101393808775089,0.28829502534246493,0.29129103152766167,0.21728108854800024,0.04615397126503879,0.06112562294314738,0.06974118660270633,0.1873665030491969,0.08429980985311585,0.18439162406530388
The Vault,-0.046662860339687716,0.23562813541221042,0.3446842617751475,0.28229099735166996,0.09374748798173609,0.05417525543429464,0.09132203772136444,0.16327825818969416,0.0936209487939073,0.14304271866304558
By the Sea,-0.12617238763719796,0.26221271261572837,0.2556098380960369,0.3883850997608776,0.0924823818351918,0.05379425422472797,0.04631947437553507,0.21505189339009423,0.16321733177561934,0.15352482675186666
A Quiet Passion,0.0682448037490945,0.308392544677394,0.2669317317853473,0.2401477384237381,0.05170603335462942,0.04626124349401533,0.026137768854245614,0.26426390464696164,0.16179297725500313,0.16421475017739234
Little Spirou,-0.0126884914934635,0.0397362820804119,0.5685286521911621,0.0524247735738754,0.0171785429120063,0.0037676088977605,0.0034600619692355,0.0095865586772561,0.009322459809482,0.3881561458110809
Dark Waters,-0.12772238894055288,0.2452267741629233,0.2022649145537677,0.3729491644484612,0.12468483873759394,0.04179742255480957,0.10284176413299667,0.1724524965137243,0.12895137425318048,0.17367385418231907
125 Years Memory,0.33017133882847327,0.40565268733891946,0.2064529664388954,0.07548134721382037,0.006711673920327795,0.0034759273842390227,0.016676817166594884,0.3490315886447206,0.06709389685219601,0.10917781122783517
An Officer and a Spy,-0.003916804029634493,0.3357310436778899,0.24188332062278112,0.3396478462717355,0.07442244454498655,0.0685993884670262,0.05752366542495135,0.18940841776555206,0.14166636163171267,0.18104184784037483
Freeheld,0.11030468736134935,0.37094891754532,0.21258552871177017,0.2606442284404693,0.05275467111277973,0.05993816415855232,0.03585287363353014,0.27980224019529487,0.1622177513445422,0.1343487742678917
The Spy Who Dumped Me,0.008062428707877793,0.30122672276571394,0.1880019139579963,0.29316429352387785,0.08796901283164815,0.051755552648100965,0.029446849043791447,0.22961942304469024,0.10647144419141111,0.18673580021364614
The Kid,-0.008177234828472137,0.31513339806813745,0.2779042611340992,0.3233106324612163,0.09542119595862456,0.03974160496669352,0.030925768490997107,0.22481030818948056,0.13477130755723918,0.1864255543402396
Under the Silver Lake,-0.11277099610260218,0.25801459961746,0.21329106173494203,0.37078559721617194,0.1267073384963326,0.09703705342438088,0.04735729570436,0.16630976988028015,0.09293437252134672,0.2464621215833969
Operation Finale,-0.11263591864878691,0.23309690817214043,0.2992070428761473,0.3457328265767942,0.09654453586734993,0.0629061632995941,0.01674258213171514,0.22020962629501156,0.12795630269525662,0.1473075283043656
Tale of Tales,0.03506311510379115,0.3718546855864891,0.26801007889055956,0.3367915720543048,0.06778566162271692,0.09067480693799246,0.04264425873831589,0.19457699560249844,0.1088885573505346,0.20658629523920047
The Secrets We Keep,0.06442203981180986,0.3133132354573657,0.3540479744117086,0.2488911958023285,0.06571620565567471,0.05113330457582678,0.05795272569133276,0.1805521987460088,0.10083731420493372,0.16976026930535829
99 Homes,-0.12710748373033248,0.28057645458077424,0.2667828693297015,0.4076839398261007,0.08388061256686936,0.07457292171981347,0.05680892278268062,0.16426370146067187,0.16592533362404224,0.1877656472489646
Everybody Wants Some!!,-0.08180942104081623,0.2636806052214524,0.2724095652547476,0.3454900262586307,0.03869800081974967,0.06601973706597161,0.03031198641951955,0.21128502494229906,0.1101494000486127,0.2711262826069287
Bigfoot Family,0.12627365104854107,0.30130345234647393,0.33304696100725173,0.17502979993044085,0.08514258490099258,0.03180680241843216,0.015914537574668992,0.23334911530294145,0.07796791319424903,0.1561054162029177
The Duelist,0.30256353311386763,0.469742582627006,0.25125125703840134,0.16717905152643867,0.07097128877534947,0.030573557230287794,0.024849176002830663,0.28814498819844503,0.09678882615659017,0.2374209049568676
Licorice Pizza,0.0715445341556368,0.37518319368530484,0.22794559724231536,0.30363865846004756,0.048503174755505155,0.07057375672358238,0.031236672100849072,0.26514925677644413,0.1422695555904516,0.1917655967014905
Trumbo,0.12249042032972762,0.36218188034468574,0.3482215865748003,0.23969146145115558,0.07394673710407097,0.022999521992536905,0.03757657575096294,0.22595901926979423,0.10894498955703484,0.1718252557648444
High Life,-0.35485571889944795,0.1727984373475302,0.2267547484733305,0.5276541514519848,0.10425637619139377,0.13192362596971674,0.06109780772618797,0.08921233265614573,0.2151932459212576,0.16212789288761517
Film Stars Don't Die in Liverpool,0.33636817841145855,0.5050760792622057,0.2108979413852257,0.16870790334024394,0.022882876840482715,0.012107282864095483,0.011163604724480577,0.2946719909377862,0.19246169546610103,0.23658384232168408
The Infiltrator,-0.005457743787937027,0.26617050304566675,0.3935799172496517,0.27162824610914876,0.0672946328501612,0.048732119357161416,0.06406184858408008,0.14237382669016888,0.1161629156119076,0.16779474211980672
Laal Singh Chaddha,-0.07617561891674995,0.21929754043618838,0.3539755026142423,0.2954731606521333,0.05951303367502985,0.026426993439478446,0.021035337044837992,0.17461184366450952,0.10161947532246507,0.2028178157308139
Grimsby,0.15787834613475688,0.35249734256784754,0.31026987013878127,0.1946189959430634,0.03834605962985602,0.057556503208700614,0.029323630665055278,0.2195045327182946,0.08117978990099627,0.21730798976712448
The Painted Bird,-0.0071419691480696205,0.310154324285686,0.27328099036953063,0.3172962945199106,0.08206805785419416,0.044886154971027235,0.11334190082561689,0.19683741079410538,0.11730642933747727,0.14227905741543506
Slack Bay,0.32195884734392166,0.4007566124200821,0.32678927729527146,0.07879776592987274,0.0045495905602971,0.014936835378951666,0.0025288407923652998,0.48433178290724754,0.0081298109143972,0.15873385531206924
Jagga Jasoos,0.2521950286803859,0.4207787574637718,0.284319213988596,0.16858372831772458,0.04737206721231152,0.011402024992103047,0.010672285261570826,0.2885791684032907,0.11668840626088697,0.1617589119469083
Bros,0.0633274635920922,0.4011818969839563,0.23981866951197542,0.33785443437440943,0.07503207145006546,0.06617417355436672,0.05249621048744298,0.27683541163724534,0.09840340093787135,0.18457339539425446
The Visitors: Bastille Day,-0.7821920812129974,0.01646394375711675,0.3552153604105115,0.7986560165882111,0.2493733614683151,0.1832231506705284,0.0393763803876936,0.012880780384875801,0.09315295889973635,0.06677798368036744
Triple 9,0.11958243100652619,0.3316369395710469,0.3714316666573434,0.21205450815799098,0.08683269681401608,0.050165819707751566,0.05075004432278326,0.1641070421282497,0.08381617053167979,0.17702354008649726
Seberg,0.051714131378390815,0.3490698112755637,0.2900806284278077,0.29735568129154066,0.08175683027431574,0.04273890901462882,0.03647950391273345,0.22971900263827377,0.10815551531438325,0.21106961311960823
